Cancer,ENST00000336517.8,ENST00000466960.5,ENST00000394860.3,ENST00000467555.1,ENST00000394857.7,ENST00000416245.5,ENST00000479793.5,N
OV,0.8904135334703682,9.562729873481008e-05,0.010230994162191951,8.384254275597305e-05,0.0764193723502731,0.00615944853336245,8.311100498847946e-05,420
STAD,0.7619340545266733,0.0005643252888084,0.0009558851727879,0.000391085863909,0.12096026376188565,0.00812096002856625,0.00035752187002795004,414
READ,0.7582849306903724,0.09899017476384965,0.0260345498637394,7.414488553470047e-05,0.044936689077087796,0.007400472493658,0.014241956876772249,92
COAD,0.7538486251122518,0.1063863647451084,0.017227624957835398,7.693932952670497e-05,0.03913632170881105,0.00691920060271465,0.01266807426924295,288
ESCA,0.6047586587122774,0.0002884354318756,0.008496031354702,0.0101361529506525,0.1820155068066019,0.0143606428194918,0.0002394018371248,181
UVM,0.5145661040037023,0.3613315407161398,0.0359359438267436,9.71138871860855e-05,0.0008285003131111,0.0021500283342906,0.001453539222795,79
BRCA,0.5113778191142788,0.2953274455129884,0.02241419038412225,0.00010212348767195,0.056855801103788656,0.00614920706169,0.00638839088251,1092
PRAD,0.4946068204804407,0.3919807777173296,0.0234200086541946,8.356188891690845e-05,0.0140909367975001,0.0036613016505742,0.0084695135080933,495
LUSC,0.4759378666338355,0.18556705987561817,0.014394925290513,0.0424988527170547,0.06491991282411841,0.0066112076550507,0.00612327060607765,498
CHOL,0.42440978190840073,0.3592124391896779,0.0002972710493577,0.0001699065048736,0.0372414050590516,0.0094918772242596,0.00027409776491585,36
HNSC,0.40189478265255185,0.1582203872341475,0.0136659768104334,0.21041882809355134,0.0310856948645117,0.00180683961629315,0.0078396292817379,518
LUAD,0.3924829009415111,0.2892087665699903,0.0212265991938825,0.017461956753723,0.0421023064328891,0.0057191420479114,0.0003777864640321,513
CESC,0.3772305986760167,0.30610601267740684,0.0259205567962831,0.05639762743499925,0.040973498686175,0.0041710848169646,0.008597047246309799,304
UCS,0.3734899176631471,0.4945029627386947,0.0203618921654041,0.0001064158392961,0.0145277416237876,0.0032692952356402,0.0131073336041528,57
SKCM,0.351312049176773,0.47742122071912174,0.0196845459466597,0.00012512591151104998,0.03803889797919445,0.00367647213690155,0.0004103959339577,102
KIRC,0.34765917940568286,0.48734577563719683,0.026322391239209,0.00014799317931805,0.0225122886183397,0.0038115471183104,0.00051232290750755,530
ACC,0.3421272959852954,0.3932368907062335,0.0156464517543686,0.000237691794627,0.0002741966404232,0.0014440657930295,0.0003292635803647,77
GBM,0.3331216857673088,0.4969801996238074,0.0013946650008447,0.0002540052448487,0.0006071544762237,0.000681644961359,0.000667986320233,153
KIRP,0.3316412215078336,0.5109448419543934,0.0280124249304771,0.00011740967654825,0.01251432757357215,0.00304973422307595,0.004206525660668399,288
MESO,0.3213945291127775,0.5500204631437425,0.0294054822952884,0.0001003283917749,0.0151920166213158,0.0034963950926652,0.0100253347058171,87
LIHC,0.3190830938461222,0.4229614070425505,0.0012091900475413,0.0007209573743068,0.0253002264185501,0.0028818300768336,0.0007651160339359,369
BLCA,0.3162764010343251,0.374282031483076,0.0299138313647019,0.0706415940994485,0.0231401885004322,0.0030054852161005,0.0024138383266229,407
PAAD,0.30574867064398237,0.484189900606603,0.017735628788910697,0.0001694325484569,0.0264149516809738,0.00305438893957325,0.0004401492132649,178
UCEC,0.29125353900091305,0.4794125068881733,0.02809812161649565,0.00011945838220405,0.01941631795864005,0.0029967083946092,0.00671335467947345,180
KICH,0.25670463037674934,0.639290716766814,0.0100855514587274,0.00040979025852295,0.00047014646750819997,0.0004701373626652,0.00063909342758875,66
PCPG,0.194904578886964,0.6099479982279494,0.0180233468076269,0.0002029585109816,0.008546797695781,0.0009284690924491,0.0005691346720249,177
THCA,0.18402004992628665,0.6940931352166901,0.0117896054761814,0.00031328101220724997,0.00045516008619235,0.00067706582496385,0.0004897797873531,504
SARC,0.18210705718178855,0.683905907033524,0.020611572149902252,0.00014833591488144999,0.0004960530727213,0.00058409916616695,0.0006639788706864,258
TGCT,0.16729165034157828,0.6670100247390522,0.021704865934327598,0.00020546643183325,0.02131724184226535,0.00362645574894655,0.0003287389322205,148
THYM,0.1033546086934231,0.7202582622748795,0.0321877265807464,0.0001342830057774,0.0057232927954783,0.0007171359144668,0.0097535312622012,119
LGG,0.0600143292433822,0.8613493156294291,0.0122402059919689,0.0001716139968051,0.0010235162482994,0.0005058132889226,0.0003941533048398,509
DLBC,0.0386255652609437,0.3912267956964861,0.0060696453142896,0.3936805594483639,0.007299168242184,0.0008424744531781,0.0027247393933836,47
